Artist,Title,Album
Black Flag,Police Story,Damaged
Black Flag,Rise Above,Damaged
Black Flag,Six Pack,Six Pack
Black Flag,TV Party,Damaged
Black Flag,Wasted,Everything Went Black
Black Heart Procession,A Light So Dim,2
Black Heart Procession,It's A Crime I Never Told You About The Diamonds In Your Eyes,2
Black Heart Procession,Square Heart,1
Black Keys,10 A.M. Automatic,Rubber Factory
Black Lips,Bad Kids,Good Bad Not Evil
"Black, Frank",Hang On To Your Ego (by The Beach Boys),Frank Black
"Black, Frank",Speedy Marie,Teenager Of The Year
Bleached,"Hollywood, We Did It All Wrong",Welcome The Worms
Bleeders,I Hate Men,We Hate Men
Blind Shake,I'm Not An Animal,Seriousness
Blitz,Razors In The Night,Voice Of A Generation
Blonde Redhead,23,23
Blondie,X-offender,Blondie
Blood Brothers,Love Rhymes With Hideous Car Wreck,Crimes
Blow,Parentheses,Paper Television
Blow,True Affection,Paper Television
Blur,Country House,The Great Escape
Blur,Parklife,Parklife
Blur,She's So High,Leisure
Blur,There's No Other Way,Leisure
Bodega,Statuette On The Console,Broken Equipment
Body Count,Cop Killer,Body Count
Bomb The Music Industry!,Everybody That You Love,Vacation
Bonnie 'Prince' Billy,I See A Darkness,I See a Darkness
Bottle Rockets,Thousand Dollar Car,The Brooklyn Side
Bouncing Souls,True Believers,How I Spent My Summer Vacation
"Bowie, David",Queen Bitch,Hunky Dory
"Bowie, David",The Man Who Sold The World,The Man Who Sold The World
Boygenius,Bite The Hand,Boygenius
Boygenius,Me & My Dog,Boygenius
boygenius,Not Strong Enough,the record
Boys,Brickfield Nights,Alternative Chartbusters
Boys,First Time,The Boys
Braid,Ariel,Frame & Canvas
"Brat, The",Attitudes,Attitudes
Bratmobile,Cheap Trick Record,"Ladies, Women And Girls"
Bratmobile,Cherry Bomb (by The Runaways),Pottymouth
Bratmobile,Gimme Brains,"Ladies, Women And Girls"
Bratmobile,The Real Janelle,The Real Janelle
Bratmobile,Well You Wanna Know What,"Ladies, Women And Girls"
Breeders,Divine Hammer,Last Splash
Breeders,Doe,Pod
Breeders,Drivin' On 9,Last Splash
Breeders,No Aloha,Last Splash
Brian Jonestown Massacre,Anemone,Their Satanic Majesties' Second Request
"Bridgers, Phoebe",Kyoto,Punisher
"Bridgers, Phoebe",Motion Sickness,Stranger In The Alps
"Bridgers, Phoebe",Scott Street,Stranger In The Alps
Bright Eyes,Bowl Of Oranges,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground"
Bright Eyes,Lover I Don't Have To Love,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground"
Bright Eyes,Method Acting,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground"
Bright Eyes,Papa Was A Rodeo (by Magnetic Fields),SCORE! 20 Years of Merge Records: THE COVERS!
Bright Eyes,The Calendar Hung Itself…,Fevers And Mirrors
Broken Social Scene,7/4 (Shoreline),Broken Social Scene
Broken Social Scene,Anthems For A Seventeen-Year Old Girl,You Forgot It In People
Buffalo Tom,Birdbrain,Birdbrain
Built to Spill,Car,There's Nothing Wrong with Love
Built to Spill,Carry The Zero,Keep It Like A Secret
Built To Spill,Center Of The Universe,Keep It Like A Secret
Built To Spill,Distopian Dream Girl,There's Nothing Wrong With Love
Built To Spill,I Would Hurt A Fly,Perfect From Now On
Built To Spill,Twin Falls,There's Nothing Wrong With Love
Built to Spill,You Were Right,Keep It Like A Secret
Bully,Trying,Feels Like
"Burnside, R.L.",Snake Drive,A Ass Pocket Of Whiskey
Bush Tetras,Too Many Creeps,Boom In The Night
Butchies,She's So Lovely,Make Yr Life
Buzzcocks,Autonomy,Singles Going Steady
Buzzcocks,Ever Fallen In Love?,Singles Going Steady
Buzzcocks,Love You More,Singles Going Seady
Buzzcocks,Oh Shit!,Singles Going Steady
Buzzcocks,Orgasm Addict,Singles Going Steady
Buzzcocks,Promises,Singles Going Steady
Buzzcocks,What Do I Get?,Singles Going Steady
Cadallaca,The Trouble With Public Places,Out West
"Cale, John",Fear Is A Man's Best Friend,Fear
"Callahan, Bill",Too Many Birds,Sometimes I Wish We Were An Eagle
Camera Obscura,French Navy,My Maudlin Career
Camera Obscura,Honey In The Sun,My Maudlin Career
Camera Obscura,Lloyd I'm Ready To Be Heartbroken,Let's Get Out Of This Country
Camera Obscura,The Sweetest Thing,My Maudlin Career
Camper Van Beethoven,All Her Favorite Fruit,Key Lime Pie
Camper Van Beethoven,Take The Skinheads Bowling,Telephone Free Landslide Victory
Can,She Brings The Rain,Soundtracks
Cansei de Ser Sexy,Let's Make Love And Listen Death From Above,CSS
Cap'n Jazz,Oh Messy Life,Analphabetapolothology
Cap'n Jazz,Take On Me (by A-Ha),Analphabetapolothology
Car Seat Headrest,Unforgiving Girl (She's Not An),Teens Of Denial
Cartalk,Wrestling,Pass Like Pollen
"Case, Neko",Calling Cards,"The Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You"
"Case, Neko",Deep Red Bells,Blacklisted
"Case, Neko",Furnace Room Lullaby,Furnace Room Lullaby
"Case, Neko","Hold On, Hold On",Fox Confessor Brings The Flood
"Case, Neko",I Wish I Was The Moon,Blacklisted
"Case, Neko",Man,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You"
"Case, Neko",Pitch Or Honey,Hell-On
"Case, Neko",Pretty Girls,Blacklisted
"Case, Neko",Red Tide,Middle Cyclone
"Case, Neko",Star Witness,Fox Confessor Brings The Flood
"Case, Neko",That Teenage Feeling,Fox Confessor Brings The Flood
"Case, Neko",This Tornado Loves You,Middle Cyclone
"Case, Neko & Her Boyfriends",Guided By Wire,Furnace Room Lullaby
case/lang/veirs,Best Kept Secret,case/lang/veirs
Cat Power,Cherokee,Sun
Cat Power,Cross Bones Style,Moon Pix
Cat Power,Free,You Are Free
Cat Power,Nude As The News,What Would The Community Think?
Cat Power,Sea Of Love (by Phil Phillips & The Twilights),The Covers Record
"Cave, Nick & The Bad Seeds",Deanna,Tender Prey
"Cave, Nick & The Bad Seeds",I Let Love In,Let Love In
"Cave, Nick & The Bad Seeds",Papa Won't Leave You Henry,Henry's Dream
"Cave, Nick & The Bad Seeds",Stagger Lee,Murder Ballads
"Cave, Nick & The Bad Seeds",The Ship Song,The Good Son
"Cave, Nick & The Bad Seeds",Tupelo,The Firstborn Is Dead
Cayetana,Age Of Consent (by New Order),Tired Eyes
Cayetana,"Scott Get The Van, I'm Moving",Nervous Like Me
Cell Phones,West Coast,Get You Alone
Chain Of Strength,True Till Death,True Till Death
Charlatans (UK),One To Another,Tellin' Stories
Charly Bliss,Capacity,Young Enough
Chastity Belt,Cool Slut,Time To Go Home
Chavez,Unreal Is Here,Ride The Fader
Cheap Time,People Talk,Cheap Time
Cheap Trick,Downed,In Color
Cheap Trick,He's A Whore,Cheap Trick
Cheap Trick,Hello There,In Color
Childbirth,I Only Fucked You As A Joke,It's A Girl!
Chills,Pink Frost,Kaleidoscope World
Cigarettes After Sex,Sweet,Cigarettes After Sex
Circle Jerks,Live Fast Die Young,Group Sex
Circle Jerks,Wild In The Streets,Wild In The Streets
Circle Jerks,World Up My Ass,Group Sex
Clap Your Hands Say Yeah,Is This Love?,Clap Your Hands Say Yeah
Clap Your Hands Say Yeah,The Skin Of My Yellow Country Teeth,Clap Your Hands Say Yeah
Clash,Clampdown,London Calling
Clash,I'm Not Down,London Calling
Clash,London Calling,London Calling
Clash,Lost In The Supermarket,London Calling
Clash,The Guns Of Brixton,London Calling
Clash,White Riot,The Clash
Claw Hammer,Mongoloid (by DEVO),Q:Are We Not Men? A:We Are NOT DEVO
Clean,Anything Could Happen,Anthology
Cleaners From Venus,Only A Shadow,Midnight Cleaners
Clinic,The Second Line,Internal Wrangler
Cloud Nothings,Pyschic Trauma,Here And Nowhere Else
Coathangers,Don't Touch My Shit!,The Coathangers
Coathangers,Nestle In My Boobies,The Coathangers
Cock Sparrer,Argy Bargy,Shock Troops
Cock Sparrer,Riot Squad,Shock Troops
Cock Sparrer,Take 'Em All,Shock Troops
Cock Sparrer,Working,Shock Troops
Cockney Rejects,Oi! Oi! Oi!,"Greatest Hits, Volume 2"
Cocteau Twins,Cherry-Coloured Funk,Heaven Or Las Vegas
Coma In Algiers,Hey Mom,This Is Your Justice
Coma In Algiers,Leipzig,Happy Forever
Come,Shoot Me First,Near Life Experience
Common Rider,Classics Of Love,Last Wave Rockers
Company Of Thieves,After Thought,Running From A Gamble
Constantines,Nighttime/Anytime (It's Alright),Shine A Light
Converge,Homewrecker,Jane Doe
"Costello, Elvis",(The Angels Wanna Wear My) Red Shoes,My Aim Is True
"Costello, Elvis",Everyday I Write The Book,Punch The Clock
"Costello, Elvis",Less Than Zero,My Aim Is True
"Costello, Elvis",This Is Hell,Brutal Youth
"Costello, Elvis",Watching The Detectives,My Aim Is True
Cracker,Happy Birthday To Me,Cracker
Cramps,Goo Goo Muck,Psychedelic Jungle
Cramps,Human Fly,Gravest Hits
Cramps,I Was A Teenage Werewolf,Songs The Lord Taught Us
Cramps,Strychnine (by The Sonics),Songs The Lord Taught Us
Cramps,TV Set,Songs The Lord Taught Us
Crass,Bata Motel,Penis Envy
Crass,Do They Owe Us A Living?,The Feeding Of The 5000
Crass,Systematic Death,Penis Envy
Crass,Where Next Columbus?,Penis Envy
Creation,Making Time,Action Painting
Crooked Fingers,New Drink For The Old Drunk,Crooked Fingers
Crooked Fingers,Sleep All Summer,Dignity And Shame
Crooked Fingers,Under Sad Stars,Crooked Fingers
Cub,New York City,"Come Out, Come Out"
Cub,Your Bed,"Come Out, Come Out"
Cure,Boys Don't Cry,Boys Don't Cry
Cure,Close To Me,The Head On The Door
Cure,In Between Days,The Head On The Door
Cure,Jumping Someone Else's Train,Boys Don't Cry
Cure,Pictures Of You,Disintegration
Cure,The Hanging Garden,Pornography
Cursive,Art Is Hard,The Ugly Organ
Cursive,Some Red-Handed Sleight Of Hand,The Ugly Organ
Cursive,The Recluse,The Ugly Organ
"Dacus, Lucy",Hot & Heavy,Home Video
"Dacus, Lucy",I Don't Wanna Be Funny Anymore,No Burden
"Dacus, Lucy",Kissing Lessons,Kissing Lessons
"Dacus, Lucy",Night Shift,Historian
