Artist,Title,Album,Themes,Tags
Beaches,Blame Brett,Blame My Ex,,
Beat (Paul Collins),Rock N Roll Girl,The Beat,,
Beat Happening,Cast A Shadow,Black Candy,,
Beat Happening,Sleepy Head,You Turn Me On,,
"Bell, Chris",I Am The Cosmos,I Am The Cosmos,sad,
Belle & Sebastian,"Get Me Away From Here, I'm Dying",If You're Feeling Sinister,sad,
Belle & Sebastian,If You're Feeling Sinister,If You're Feeling Sinister,sad,
Belle & Sebastian,Judy And The Dream Of Horses,If You're Feeling Sinister,sad,
Belle & Sebastian,Lazy Line Painter Jane,Lazy Line Painter Jane,sad,
Belle & Sebastian,Le Pastie De La Bourgeoisie,3..6..9 Seconds Of Light,sad,
Belle & Sebastian,Legal Man,Legal Man,,
Belle & Sebastian,Like Dylan In The Movies,If You're Feeling Sinister,sad,
Belle & Sebastian,Lord Anthony,Dear Catastrophe Waitress,sad,
Belle & Sebastian,Mayfly,If You're Feeling Sinister,sad,
Belle & Sebastian,Me And The Major,If You're Feeling Sinister,sad,
Belle & Sebastian,Photo Jenny,Lazy Line Painter Jane,,
Belle & Sebastian,Seeing Other People,If You're Feeling Sinister,sad,
Belle & Sebastian,"Step Into My Office, Baby",Dear Catastrophe Waitress,,
Belle & Sebastian,The Boy Done Wrong Again,If You're Feeling Sinister,sad,
Belle & Sebastian,The Boy With The Arab Strap,The Boy with the Arab Strap,,
Belle & Sebastian,The Fox In The Snow,If You're Feeling Sinister,sad,
Belle & Sebastian,The Stars Of Track And Field,If You're Feeling Sinister,sad,
Belle & Sebastian,The State I Am In,Dog On Wheels,,
Belle & Sebastian,Women's Realm,"Fold Your Hands Child, You Walk Like A Peasant",,
Belle & Sebastian,Your Cover's Blown,Books EP,,
Belly,Feed The Tree,Star,,
Best Coast,Better Girl,The Only Place,sad,
Best Coast,Boyfriend,Crazy For You,sad,
Best Coast,Crazy For You,Crazy For You,sad,
Best Coast,Happy,Crazy For You,,
Best Coast,The Only Place,The Only Place,,
Best Coast,When I'm With You,Crazy For You,,
Beths,Future Me Hates Me,Future Me Hates Me,sad,
Beths,Little Death,Future Me Hates Me,,
Beths,Silence Is Golden,Expert In A Dying Field,,
Better Oblivion Community Center,Dylan Thomas,Better Oblivion Community Center,sad,
Beulah,Gene Autry,The Coast Is Never Clear,,
Big Bill,Two Weeks,The Second Bill,,
Big Black,Kerosene,Atomizer,,
Big Black,Steelworker,The Hammer Party,scary,
Big Black,The Model (by Kraftwerk),Songs About Fucking,,
Big Boys,Fun Fun Fun,The Fat Elvis,,
Big Boys,Hollywood Swingin' (by Kool & The Gang),The Fat Elvis,,
Big Boys,Sound On Sound,The Fat Elvis,sad,
Big Boys,Which Way To Go,The Fat Elvis,sad,
Big Star,Holocaust,Third,sad,
Big Star,September Gurls,Radio City,sad,
Big Star,Thirteen,#1 Record,sad,
Big Star,When My Baby's Beside Me,#1 Record,,
Big Thief,Change,Dragon New Warm Mountain I Believe In You,,
Big Thief,Mythological Beauty,Capacity,sad,
Big Thief,Not,Two Hands,sad,
Big Thief,Shark Smile,Capacity,sad,
Big Thief,Simulation Swarm,Dragon Warm New Mountain I Believe In You,sad,
Big Thief,Vampire Empire,Vampire Empire,sad,
Bikini Kill,Anti-Pleasure Dissertation,The Singles,,
Bikini Kill,Capri Pants,Reject All American,,
Bikini Kill,Carnival,Revolution Girl Style Now,,
Bikini Kill,Demirep,The Singles,,
Bikini Kill,Don't Need You,The CD Version Of The First Two Records,,
Bikini Kill,Double Dare Ya,The CD Version Of The First Two Records,,
Bikini Kill,Feels Blind,The CD Version Of The First Two Records,sad,
Bikini Kill,I Like Fucking,The Singles,,
Bikini Kill,In Accordance To Natural Law,The Singles,,
Bikini Kill,New Radio,The Singles,,
Bikini Kill,Rebel Girl,The Singles,,
Bikini Kill,Suck My Left One,The CD Version Of The First Two Records,,
Bikini Kill,Sugar,Pussy Whipped,,
Bikini Kill,This Is Not A Test,The CD Version Of The First Two Records,,
Birthday Party,Sonny's Burning,The Bad Seed EP,scary,
Björk,Human Behavior,Debut,sad,
Black Dresses,Thoughts And Prayers,WASTEISOLATION,sad,
Black Flag,Clocked In,Everything Went Black,,
Black Flag,Depression,Everything Went Black,sad,
Black Flag,Gimmie Gimmie Gimmie,Damaged,,
Black Flag,Jealous Again,Everything Went Black,,
Black Flag,Louie Louie,Louie Louie EP,,
Black Flag,Nervous Breakdown,Nervous Breakdown,,
Black Flag,No Values,Everything Went Black,,
Black Flag,Police Story,Damaged,,
Black Flag,Rise Above,Damaged,,
Black Flag,Six Pack,Six Pack,,
Black Flag,TV Party,Damaged,,
Black Flag,Wasted,Everything Went Black,,
Black Heart Procession,A Light So Dim,2,sad; scary,
Black Heart Procession,It's A Crime I Never Told You About The Diamonds In Your Eyes,2,sad,
Black Heart Procession,Square Heart,1,sad,
Black Keys,10 A.M. Automatic,Rubber Factory,,
Black Lips,Bad Kids,Good Bad Not Evil,,
"Black, Frank",Hang On To Your Ego (by The Beach Boys),Frank Black,,
"Black, Frank",Speedy Marie,Teenager Of The Year,,
Bleached,"Hollywood, We Did It All Wrong",Welcome The Worms,,
Bleeders,I Hate Men,We Hate Men,,
Blind Shake,I'm Not An Animal,Seriousness,,
Blitz,Razors In The Night,Voice Of A Generation,scary,
Blonde Redhead,23,23,sad,
Blondie,X-offender,Blondie,,
Blood Brothers,Love Rhymes With Hideous Car Wreck,Crimes,sad; scary,
Blow,Parentheses,Paper Television,,
Blow,True Affection,Paper Television,sad,
Blur,Country House,The Great Escape,,
Blur,Parklife,Parklife,,
Blur,She's So High,Leisure,,
Blur,There's No Other Way,Leisure,,
Bodega,Statuette On The Console,Broken Equipment,,
Body Count,Cop Killer,Body Count,scary,
Bomb The Music Industry!,Everybody That You Love,Vacation,sad,
Bonnie 'Prince' Billy,I See A Darkness,I See a Darkness,sad,
Bottle Rockets,Thousand Dollar Car,The Brooklyn Side,sad,
Bouncing Souls,True Believers,How I Spent My Summer Vacation,,
"Bowie, David",Queen Bitch,Hunky Dory,,
"Bowie, David",The Man Who Sold The World,The Man Who Sold The World,,
Boygenius,Bite The Hand,Boygenius,sad,
Boygenius,Me & My Dog,Boygenius,sad,
boygenius,Not Strong Enough,the record,sad,
Boys,Brickfield Nights,Alternative Chartbusters,,
Boys,First Time,The Boys,,
Braid,Ariel,Frame & Canvas,,
"Brat, The",Attitudes,Attitudes,,
Bratmobile,Cheap Trick Record,"Ladies, Women And Girls",,
Bratmobile,Cherry Bomb (by The Runaways),Pottymouth,,
Bratmobile,Gimme Brains,"Ladies, Women And Girls",scary,
Bratmobile,The Real Janelle,The Real Janelle,,
Bratmobile,Well You Wanna Know What,"Ladies, Women And Girls",sad,
Breeders,Divine Hammer,Last Splash,,
Breeders,Doe,Pod,,
Breeders,Drivin' On 9,Last Splash,sad,
Breeders,No Aloha,Last Splash,,
Brian Jonestown Massacre,Anemone,Their Satanic Majesties' Second Request,sad,
"Bridgers, Phoebe",Kyoto,Punisher,sad,
"Bridgers, Phoebe",Motion Sickness,Stranger In The Alps,sad,
"Bridgers, Phoebe",Scott Street,Stranger In The Alps,sad,
Bright Eyes,Bowl Of Oranges,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground",sad,
Bright Eyes,Lover I Don't Have To Love,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground",sad,
Bright Eyes,Method Acting,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground",sad,
Bright Eyes,Papa Was A Rodeo (by Magnetic Fields),SCORE! 20 Years of Merge Records: THE COVERS!,sad,
Bright Eyes,The Calendar Hung Itself…,Fevers And Mirrors,,
Broken Social Scene,7/4 (Shoreline),Broken Social Scene,,
Broken Social Scene,Anthems For A Seventeen-Year Old Girl,You Forgot It In People,sad,
Buffalo Tom,Birdbrain,Birdbrain,,
Built to Spill,Car,There's Nothing Wrong with Love,,
Built to Spill,Carry The Zero,Keep It Like A Secret,,
Built To Spill,Center Of The Universe,Keep It Like A Secret,,
Built To Spill,Distopian Dream Girl,There's Nothing Wrong With Love,,
Built To Spill,I Would Hurt A Fly,Perfect From Now On,,
Built To Spill,Twin Falls,There's Nothing Wrong With Love,sad,
Built to Spill,You Were Right,Keep It Like A Secret,,
Bully,Trying,Feels Like,sad,
"Burnside, R.L.",Snake Drive,A Ass Pocket Of Whiskey,,
Bush Tetras,Too Many Creeps,Boom In The Night,scary,
Butchies,She's So Lovely,Make Yr Life,,
Buzzcocks,Autonomy,Singles Going Steady,,
Buzzcocks,Ever Fallen In Love?,Singles Going Steady,sad,
Buzzcocks,Love You More,Singles Going Seady,,
Buzzcocks,Oh Shit!,Singles Going Steady,,
Buzzcocks,Orgasm Addict,Singles Going Steady,,
Buzzcocks,Promises,Singles Going Steady,,
Buzzcocks,What Do I Get?,Singles Going Steady,sad,
Cadallaca,The Trouble With Public Places,Out West,,
"Cale, John",Fear Is A Man's Best Friend,Fear,scary,
"Callahan, Bill",Too Many Birds,Sometimes I Wish We Were An Eagle,sad,
Camera Obscura,French Navy,My Maudlin Career,,
Camera Obscura,Honey In The Sun,My Maudlin Career,,
Camera Obscura,Lloyd I'm Ready To Be Heartbroken,Let's Get Out Of This Country,sad,
Camera Obscura,The Sweetest Thing,My Maudlin Career,sad,
Camper Van Beethoven,All Her Favorite Fruit,Key Lime Pie,sad,
Camper Van Beethoven,Take The Skinheads Bowling,Telephone Free Landslide Victory,,
Can,She Brings The Rain,Soundtracks,,
Cansei de Ser Sexy,Let's Make Love And Listen Death From Above,CSS,,
Cap'n Jazz,Oh Messy Life,Analphabetapolothology,,
Cap'n Jazz,Take On Me (by A-Ha),Analphabetapolothology,,
Car Seat Headrest,Unforgiving Girl (She's Not An),Teens Of Denial,sad,
Cartalk,Wrestling,Pass Like Pollen,sad,
"Case, Neko",Calling Cards,"The Worse Things Get, the Harder I Fight, the Harder I Fight, the More I Love You",sad,
"Case, Neko",Deep Red Bells,Blacklisted,sad,
"Case, Neko",Furnace Room Lullaby,Furnace Room Lullaby,,
"Case, Neko","Hold On, Hold On",Fox Confessor Brings The Flood,sad; scary,
"Case, Neko",I Wish I Was The Moon,Blacklisted,sad,
"Case, Neko",Man,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You",,
"Case, Neko",Pitch Or Honey,Hell-On,,
"Case, Neko",Pretty Girls,Blacklisted,sad,
"Case, Neko",Red Tide,Middle Cyclone,sad,
"Case, Neko",Star Witness,Fox Confessor Brings The Flood,sad,
"Case, Neko",That Teenage Feeling,Fox Confessor Brings The Flood,sad,
"Case, Neko",This Tornado Loves You,Middle Cyclone,sad,
"Case, Neko & Her Boyfriends",Guided By Wire,Furnace Room Lullaby,,
case/lang/veirs,Best Kept Secret,case/lang/veirs,,
Cat Power,Cherokee,Sun,sad,
Cat Power,Cross Bones Style,Moon Pix,sad; scary,
Cat Power,Free,You Are Free,,
Cat Power,Nude As The News,What Would The Community Think?,sad,
Cat Power,Sea Of Love (by Phil Phillips & The Twilights),The Covers Record,,
"Cave, Nick & The Bad Seeds",Deanna,Tender Prey,scary,
"Cave, Nick & The Bad Seeds",I Let Love In,Let Love In,sad,
"Cave, Nick & The Bad Seeds",Papa Won't Leave You Henry,Henry's Dream,scary,
"Cave, Nick & The Bad Seeds",Stagger Lee,Murder Ballads,scary,
"Cave, Nick & The Bad Seeds",The Ship Song,The Good Son,sad,
"Cave, Nick & The Bad Seeds",Tupelo,The Firstborn Is Dead,scary,
Cayetana,Age Of Consent (by New Order),Tired Eyes,,
Cayetana,"Scott Get The Van, I'm Moving",Nervous Like Me,sad,
Cell Phones,West Coast,Get You Alone,,
Chain Of Strength,True Till Death,True Till Death,,
Charlatans (UK),One To Another,Tellin' Stories,,
Charly Bliss,Capacity,Young Enough,sad,
Chastity Belt,Cool Slut,Time To Go Home,,
Chavez,Unreal Is Here,Ride The Fader,,
Cheap Time,People Talk,Cheap Time,,
Cheap Trick,Downed,In Color,,
Cheap Trick,He's A Whore,Cheap Trick,,
Cheap Trick,Hello There,In Color,,
Childbirth,I Only Fucked You As A Joke,It's A Girl!,sad,
Chills,Pink Frost,Kaleidoscope World,sad,
Cigarettes After Sex,Sweet,Cigarettes After Sex,,
Circle Jerks,Live Fast Die Young,Group Sex,,
Circle Jerks,Wild In The Streets,Wild In The Streets,,
Circle Jerks,World Up My Ass,Group Sex,,
Clap Your Hands Say Yeah,Is This Love?,Clap Your Hands Say Yeah,,
Clap Your Hands Say Yeah,The Skin Of My Yellow Country Teeth,Clap Your Hands Say Yeah,sad,
Clash,Clampdown,London Calling,,
Clash,I'm Not Down,London Calling,,
Clash,London Calling,London Calling,,
Clash,Lost In The Supermarket,London Calling,,
Clash,The Guns Of Brixton,London Calling,,
Clash,White Riot,The Clash,,
Claw Hammer,Mongoloid (by DEVO),Q:Are We Not Men? A:We Are NOT DEVO,,
Clean,Anything Could Happen,Anthology,,
Cleaners From Venus,Only A Shadow,Midnight Cleaners,sad,
Clinic,The Second Line,Internal Wrangler,,
Cloud Nothings,Pyschic Trauma,Here And Nowhere Else,sad,
Coathangers,Don't Touch My Shit!,The Coathangers,,
Coathangers,Nestle In My Boobies,The Coathangers,,
Cock Sparrer,Argy Bargy,Shock Troops,sad,
Cock Sparrer,Riot Squad,Shock Troops,,
Cock Sparrer,Take 'Em All,Shock Troops,,
Cock Sparrer,Working,Shock Troops,,
Cockney Rejects,Oi! Oi! Oi!,"Greatest Hits, Volume 2",,
Cocteau Twins,Cherry-Coloured Funk,Heaven Or Las Vegas,sad,
